instance,initial_solution,intermediate_solutions_number,final_solution,iterations,equivalent_time,seed,perturbation_ratio
instances/09.txt,342,1,339,553,300,4,0.15
instances/10.txt,340,1,337,558,300,4,0.15
instances/01.txt,26,0,26,82247,300,4,0.3
instances/02.txt,29,2,27,117905,300,4,0.3
instances/03.txt,52,1,51,16959,300,4,0.3
instances/04.txt,57,2,54,31753,300,4,0.3
instances/05.txt,104,2,102,4313,300,4,0.3
instances/06.txt,111,2,108,8349,300,4,0.3
instances/07.txt,207,2,205,994,300,4,0.3
instances/08.txt,222,2,217,2181,300,4,0.3
instances/09.txt,342,1,339,578,300,4,0.3
instances/10.txt,340,1,337,561,300,4,0.3
instances/01.txt,27,1,26,80261,300,5,0.15
instances/02.txt,29,2,27,128310,300,5,0.15
instances/03.txt,52,1,51,18725,300,5,0.15
instances/04.txt,59,2,54,34066,300,5,0.15
instances/05.txt,104,2,102,4656,300,5,0.15
instances/06.txt,110,1,109,8877,300,5,0.15
instances/07.txt,207,3,204,1085,300,5,0.15
instances/08.txt,220,1,215,2222,300,5,0.15
instances/09.txt,341,1,337,618,300,5,0.15
instances/10.txt,343,1,339,614,300,5,0.15
instances/01.txt,27,1,26,87632,300,5,0.3
instances/02.txt,29,2,27,128571,300,5,0.3
instances/03.txt,52,1,51,18989,300,5,0.3
instances/04.txt,59,2,54,34345,300,5,0.3
instances/05.txt,104,2,102,4698,300,5,0.3
instances/06.txt,110,2,108,8956,300,5,0.3
instances/07.txt,207,2,205,1089,300,5,0.3
instances/08.txt,220,1,215,2327,300,5,0.3
instances/09.txt,341,1,337,634,300,5,0.3
instances/10.txt,343,1,339,633,300,5,0.3
